GeneName	H_PBS_1	H_PBS_2	H_PBS_3	H_Mono_1	H_Mono_2	H_Mono_3	H_PFF_1	H_PFF_2	H_PFF_3	S_PBS_1	S_PBS_2	S_PBS_3	S_Mono_1	S_Mono_2	S_Mono_3	S_PFF_1	S_PFF_2	S_PFF_3
RPL21P112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237927	0	0	1	0	0	0	0	0	0	4	2	3	1	1	3	5	0	0
NFIA-AS2	0	0	1	0	0	0	0	0	0	3	2	3	14	11	15	15	3	3
RPL31P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL31P14	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
CLIC4P3	33	25	31	36	29	26	11	34	22	3	10	1	13	4	16	11	3	7
ENSG00000237934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237938	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IDI1P1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0
LINC01238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNQ1DN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCQ-AS1	29	15	13	23	17	16	18	25	13	39	52	54	60	55	51	73	38	55
LINC00649	5	5	5	6	2	3	8	6	1	5	8	5	7	9	6	3	3	5
ENSG00000237947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTATP6P20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00844	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
LINC02918	30	13	10	9	16	11	19	5	4	57	68	77	96	34	57	108	33	50
PPIL1P1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
RPL7AP73	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS13P5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000237954	0	0	0	0	0	0	0	0	0	3	2	1	3	0	2	3	0	3
ENSG00000237955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIAP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL36AP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
PRXL2CP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD52P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM161BP1	2	1	1	0	1	0	0	0	0	0	0	0	1	0	2	1	0	1
ENSG00000237971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBG1P	2	1	2	3	0	2	2	1	1	6	3	1	7	0	3	3	2	0
MTCO1P12	886	580	694	667	650	675	762	642	311	1827	2796	3300	3433	2318	2673	3694	1699	2060
ENSG00000237974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLG-AS1	133	94	110	94	84	101	87	109	59	2	2	0	3	2	2	1	2	2
RFX5-AS1	6	3	10	4	4	11	16	14	4	14	22	26	29	19	29	34	15	20
EIF4HP2	4	2	4	6	5	6	1	13	1	2	2	4	3	2	4	1	2	1
KCNMB2-AS1	0	0	1	0	1	1	0	1	0	10	10	10	16	7	2	17	4	7
DNAJB12P1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02773	3	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CDC42P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTENP1	31	38	49	34	25	46	52	49	20	140	148	153	172	133	150	233	106	129
CELF2-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2I1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01679	0	0	0	0	0	0	0	0	0	2	0	4	4	1	0	5	1	2
CNTN4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
RPL35P1	53	47	52	59	57	68	110	68	30	38	46	36	53	35	36	45	22	21
LINC01808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCC2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1P19	1	2	0	1	0	0	2	0	0	0	1	1	0	0	0	0	1	0
PSME2P1	27	31	23	45	40	38	53	27	18	15	14	22	37	20	21	24	19	22
SNRPCP1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0
NPAP1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RPL10P4	0	0	0	1	3	2	0	0	1	1	0	0	0	0	2	0	0	0
ENSG00000238004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNCATV	1	0	0	1	0	3	1	4	0	2	2	4	0	1	1	2	2	2
ENSG00000238007	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	1	1	3	0	0	0	0	0	1	1	2	2	0	0	2	2	1
ENSG00000238010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238015	0	0	0	0	1	0	0	0	0	5	7	8	1	3	4	8	5	8
SPTBN1-AS2	0	0	1	0	1	1	0	0	0	1	0	2	1	0	2	1	0	0
ENSG00000238019	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
HTR3E-AS1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0
ODAD2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMX1A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX39BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZDHHC4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM38BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALBP1P2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000238031	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
S100A11P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238035	34	21	19	24	28	16	3	12	9	82	161	134	121	68	84	143	68	59
OOSP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238039	3	1	6	4	3	0	2	1	1	13	13	19	16	13	9	21	8	8
SALL4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM230P2	9	11	11	14	6	18	7	13	6	12	24	20	26	21	13	15	11	14
LINC02257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MVP-DT	11	7	11	13	18	11	13	14	5	8	13	14	12	5	8	12	10	10
MTND5P22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISCUP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL36AP24	2	0	1	1	0	0	0	0	0	4	1	1	1	1	4	3	1	2
ZEB2-AS1	3	2	2	0	3	1	1	1	1	3	6	0	4	3	6	15	5	8
CAMSAP1-DT	62	32	50	56	32	44	39	56	24	74	75	83	89	63	79	124	48	49
HSPE1P21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238061	0	1	1	0	0	1	0	3	1	3	1	3	8	4	1	2	2	0
SPATA3-AS1	2	0	1	4	1	0	0	3	2	2	17	13	14	3	12	14	6	8
LINC01685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC57P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XKRYP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPLP0P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC26P1	27	17	22	24	13	26	38	25	14	36	55	47	48	49	40	57	15	36
RBMY2HP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPY9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL48P1	0	0	0	0	0	0	0	0	0	1	1	3	2	0	1	1	0	0
NMNAT1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC01352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238081	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0
NUDCP2	10	18	12	11	3	13	15	9	6	15	8	11	11	4	17	12	8	3
LRRC37A2	12	6	7	3	13	5	2	3	1	16	6	6	9	8	16	13	9	7
ENSG00000238084	6	5	1	4	6	5	4	7	3	1	5	2	6	4	2	2	2	1
ENSG00000238085	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0
PPP1R26P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO8P	0	0	0	0	0	0	0	0	0	1	4	0	2	1	2	1	0	1
OFD1P7Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238090	1	0	0	0	0	0	0	1	0	0	1	1	5	0	0	1	1	0
CEACAMP6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02037	0	0	0	0	0	0	0	0	0	30	30	26	43	30	35	50	16	26
ABCA17P	1	4	0	4	1	4	2	1	2	19	29	24	29	16	29	35	21	25
LINC01625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL9P7	186	113	144	148	113	119	245	139	78	58	72	76	79	95	80	102	41	59
GOLGA2P5	0	1	0	1	1	1	1	3	1	2	3	1	2	2	2	7	2	1
LINC02806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF14P3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	2
ENSG00000238110	7	3	3	4	4	0	7	5	2	6	6	2	4	9	10	4	7	8
RPS13P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01410	57	45	49	41	49	42	37	39	13	178	198	217	230	149	170	226	113	115
RAD21P1	0	0	0	1	2	2	0	0	1	0	0	1	0	0	1	1	0	2
ENSG00000238117	4	0	3	0	2	4	8	0	1	0	0	0	0	0	0	0	0	0
SLC25A24P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01589	2	1	1	8	5	2	4	0	1	0	0	0	0	0	0	0	0	0
LINC00426	0	0	0	0	0	0	0	0	0	12	20	15	19	17	16	10	8	14
ENSG00000238122	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
MID1IP1-AS1	0	2	3	1	2	1	4	4	1	4	9	2	15	5	8	7	4	7
ENSG00000238124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A3P2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000238129	0	0	0	0	0	0	0	0	0	1	3	0	9	10	2	3	1	0
LINC02854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLM2P1	2	1	0	1	3	1	2	5	0	1	4	1	6	3	3	2	1	0
MAP3K20-AS1	1	1	2	0	0	0	2	0	0	1	1	0	2	0	1	4	0	2
USP9YP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC3P2	2	4	0	0	2	3	2	2	1	8	1	3	1	1	3	0	0	0
ENSG00000238138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRWD1-AS1	2	2	2	3	1	1	1	3	0	4	8	4	3	4	6	3	2	5
ENSG00000238142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPC6P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBAP8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000238149	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238150	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1
MLLT10P1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	1
OR7E140P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP9YP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238156	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000238158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02863	2	0	1	0	0	1	2	1	1	0	0	0	0	0	0	1	0	0
OR7E117P	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1
ENSG00000238162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238165	2	2	5	1	2	5	3	3	2	4	2	1	8	6	4	8	0	2
ENSG00000238166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFITM3P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS2P35	2	2	5	0	0	1	2	1	0	2	1	5	2	2	4	4	2	1
RPL39P6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
ENSG00000238176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21P34	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	2	1	1
AHCYP2	0	0	0	2	0	0	0	0	0	1	1	0	2	0	0	2	1	0
RPS27P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD81-AS1	5	5	8	3	3	8	5	5	6	18	13	11	21	11	9	16	14	9
ENSG00000238185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPRING1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENOX1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1P15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLUHP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HADHBP1	2	0	4	0	0	2	3	0	4	3	3	1	3	4	1	2	2	0
PHACTR3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAXBP1-AS1	37	20	21	15	15	24	6	24	16	195	230	239	245	166	198	251	122	156
LRIG2-DT	0	1	0	1	1	0	1	0	0	0	2	0	0	1	2	1	1	1
UBE2V2P3	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0
MGAT2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPC1L	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0
ENSG00000238207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ETDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR2LP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARDBPP2	5	0	2	2	0	1	7	1	0	0	2	7	3	0	2	4	2	0
ENSG00000238215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238221	0	2	1	2	1	0	1	3	1	0	0	0	0	0	0	0	0	0
MKRN4P	4	3	2	4	1	1	2	0	0	8	8	12	5	7	7	14	3	2
ENSG00000238223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM250	437	359	414	423	381	404	518	422	252	462	550	559	737	493	574	708	343	482
OR7E7P	2	0	1	3	2	2	1	0	0	34	44	34	46	29	35	56	27	38
LINC00391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238231	1	0	2	0	1	1	0	0	0	1	0	0	1	1	0	1	0	1
ENSG00000238232	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TSPY11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCYBP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR12P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2W3	20	10	24	23	22	29	19	17	16	0	0	0	1	0	0	0	0	0
GABARAPL3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MYO5BP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000238246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDXP3	1	7	3	4	8	4	2	3	2	2	1	0	1	2	0	3	2	2
HMGN2P17	3	2	0	1	1	1	2	0	2	1	1	2	1	1	1	0	0	0
ST6GAL2-IT1	16	7	6	6	5	8	16	8	4	1	0	0	1	2	0	3	1	1
NSA2P7	23	8	8	13	3	12	20	13	6	6	2	12	11	5	7	7	12	3
ENSG00000238254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND5P20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238258	0	0	0	1	0	0	0	0	0	2	0	0	1	1	1	0	3	1
PHF5AP5	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0
ENSG00000238260	19	13	15	16	21	21	19	8	10	18	24	13	27	13	18	21	14	21
NTM-IT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL21P88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC00707	40	27	20	47	35	33	39	16	20	0	1	0	0	0	0	1	0	0
CENPPP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PAGE2B	0	2	0	1	0	0	0	1	0	1	4	2	1	0	1	1	0	0
ENSG00000238270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNWP19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238273	2	0	0	1	1	0	0	2	0	1	3	4	4	1	0	5	1	5
HOMER2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000238277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG1L6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238279	1	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000238280	0	1	0	1	2	1	0	0	0	0	2	0	1	1	0	0	0	1
ENSG00000238282	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TBC1D3P1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	0	1
LINC01448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL50P2	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1
SLC35E1P1	5	1	3	5	3	5	0	1	2	10	8	8	11	4	5	7	3	10
EXO5-DT	12	6	7	10	10	20	9	9	5	11	14	23	11	12	17	16	12	8
MTND3P23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERRFI1-DT	0	0	1	0	0	0	1	0	0	0	1	1	2	2	0	4	1	4
ENSG00000238291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238295	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
U3	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0
SNORD121B	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
RNU7-120P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-50P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD13E	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSG00000238316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD11	2	1	3	6	4	2	3	1	5	3	2	3	4	2	2	1	2	0
RN7SKP198	1	0	0	0	0	2	0	0	0	0	2	0	1	1	0	1	1	0
ENSG00000238326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-148P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-140P	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RNU7-57P	0	0	1	1	4	1	0	0	0	11	8	14	8	9	9	11	1	7
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR2113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-103P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-180P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RNU7-165P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1211P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-48P	1	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0
ENSG00000238387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238390	4	0	5	2	3	3	1	3	2	3	13	6	8	5	6	4	6	4
RNA5SP233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-171P	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000238410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-63P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-186P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-437P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD42B	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-136P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RNU7-157P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-130P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-893P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
RNU7-38P	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-134P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-144P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1014P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-169P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU7-14P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-498P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1208P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
